Symbol,Mode (command/dictation/both),Spoken Forms (separated with commas)
`,both,back tick
",",both,comma,coma
.,both,period,full stop
.,command,dot,point
;,both,semicolon
;,command,semi
:,both,colon
?,both,question mark
?,command,question
!,both,exclamation mark,exclamation point
!,command,bang
*,both,asterisk
*,command,star
#,both,hash sign,number sign
#,command,hash
%,both,percent sign
%,command,percent
@,both,at symbol,at sign
°,both,degree sign
°,command,degree,degrees
&,both,ampersand,and sign
&,command,amper
-,both,hyphen
-,command,minus,dash
–,both,en dash,nut dash
—,both,em dash,mutton dash
=,command,equals
+,command,plus
~,command,tilde
_,command,underscore
(,both,parent,left parent
),both,right parent
[,command,bracket,left bracket,square,left square
],command,right bracket,right square
/,both,forward slash
/,command,slash
\,command,backslash
{,command,brace,left brace,curly bracket,left curly bracket
},command,right brace,right curly bracket
<,command,angle,left angle,less than
>,command,right angle,greater than
^,command,caret sign
|,command,pipe
',command,foot,single quote,apostrophe
"""",command,inch,quote,double quote
$,both,dollar sign
$,command,dollar
£,both,pound sign
£,command,pound
€,both,euro sign
€,command,euro
