Replacement,Original
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
Eastern Illinois University,eastern Illinois university
and/or, and or
and/or, andor
Africa, africa
Asia, asia  
Latin America, latin America
Alaska, alaska
ArcGIS Pro,ArcGIS pro
ArcGIS Pro,artis pro
ArcGIS Pro,arches pro
ArcGIS Pro,arc GIS pro
Baghdad,Bagdad
built-in, built in
carto,carta
carto,cato
cartogis,cato GIS
cartogis,carta gis
Champaign, champagn
check-in, check in
check-ins, check ins
check-in, checkin
check-ins, checkins
climograph,climate graph
climograph,Clio graph
climograph,chimo graph
climograph,clime graph
climographs,climate graphs
climographs,Clio graphs
climographs,chimo graphs
climographs,climb graphs
Coles County,cols county
Coles, cols
continents,continence
copy/paste,copy paste
copy/pasted,copy pasted
COVID-19,covid nineteen
China,china
Dhaka,Dacca
Dave, dave
Eastern Ghats, eastern gats
Eurasian Steppes, Eurasian Steps
GIS, dis
GIS,gis
GIScience Center, GI science center
GIS Programming, gis programming
geoprocessing,geo processing
Gulf of, golf of
Great Plains, great plans
Hawaii,Howie
Hawaii,how are he
Hausdorff,House Orf 
Himalayas,himalayas
Hindu Kush,hindu kush
Honolulu, hana lulu
Human Development Index, human development index
Indo-Gangetic Plain,into Gangetic plane
JavaScript,Javascript
Jim, jim
jupyter notebook, jupiter notebook
knee, ne
Kronenfeld,croninfeld
loess plateau,los plateau
matplotlib, mat plot live
modmic, mod mike
notepad,note pad 
null hypothesis, no hypothesis
Persian Gulf, persian golf
Persian Gulf, persian gulf
polyline,poly line
polylines,poly lines
polyline,Polly line
polylines,Polly lines
rango,ran go
raster-based,raster based
Sahara Desert,sahara desert
scipy,si pi
see,se
sorry,sari
sub-Saharan,sub Saharan
T-Mobile, tea mobile
T-Mobile, te mobile
Thar Desert,tar desert
text align,text a line
Thanksgiving,thanksgiving
Times New Roman, times knew roman
US Geological Survey,us geological survey
United States,united states
vector-based,vector based
Western Ghats,western gats
Yunnan,you none
Yunnan,you non
Yunnan,you nan
press A,presse
press B,press be
press B,press by
press C,press see
press D,presti
press D,press de
press E,pressee
press F,press ef
press G,press ge
press G,press gee
Mediterranean Sea,Mediterranean See
Sea of Japan,See of Japan
Red Sea,Red See
Yellow Sea,Yellow See
South China Sea,South China See
Arabian Sea,Arabian See
Caribbean Sea,Caribbean See
Islam, is slam
India, india
Buddhist,buddhist
program,programme
catalog,catalogue
dialog,dialogue
D2L,desire to learn
geodatabase,geo database
cell width,sell width
cell height,sell height
grid cell,grid sell
want to,wanna
St. Louis,saint louis
due dates, do dates
Brunei,bruni
Irrawaddy,ira wadi
Ho Chi Minh, Ho Chemin
Ho Chi Minh, hote man 
Ho Chi Minh, hoki man 
Ho Chi Minh,Houthi man
Ho Chi Minh,hoshi man
Ho Chi Minh,hoshi men
Ho Chi Minh,hote men
Ho Chi Minh,hoki men
Ho Chi Minh,Houthi men
Laos, country laws
Laos, country los
Laos, country las
Laos, country louse
Laos, country laos
user,use her
PIs,principal investigators
New York Times,new York times
Tier I,tear one
Tier II,tear too
spyder,spider app
Hausdorff, House Orf
Hausdorff, how's dort
extent,extant
user,USR
auto,oto
comma,kama
